대화엄수좌원통양중대사균여전	대화엄수좌원통양중대사규녀전
둥근잎다정큼나무	둥근닙따정큼나무
둥근입실꾸리고둥	둥근닙씰꾸리고둥
둥근애기고추나물	둥그내기고추나물
두줄제비나비붙이	두줄제비나비부치
두점박이먼지벌레	두점바기먼지벌레
두발가락나무늘보	두발까랑나무늘보
두무릎꿇기풍치기	두무릅꿀키풍치기
두루치기걸음사위	두루치기거름사위
두두룩두두룩하다	두두룩뚜두루카다
동백나무겨우살이	동뱅나무겨우사리
동가식서가숙하다	동가식써가수카다
돌무지돌덧널무덤	돌무지돌던널무덤
독나방살이고치벌	동나방사리고치벌
도서과목병입사기	도서과목뼝입싸기
도도록도도록하다	도도록또도로카다
덱데굴덱데굴하다	덱떼굴덱떼굴하다
데그럭데그럭하다	데그럭떼그러카다
덩드럭덩드럭하다	덩드럭떵드러카다
덜커덕덜커덕하다	덜커덕떨커더카다
덜꺼덕덜꺼덕하다	덜꺼덕떨꺼더카다
덜그럭덜그럭하다	덜그럭떨그러카다
덜거덕덜거덕하다	덜거덕떨거더카다
덕더글덕더글하다	덕떠글덕떠글하다
더부룩더부룩하다	더부룩떠부루카다
더듬적더듬적하다	더듬적떠듬저카다
댁대굴댁대굴하다	댁때굴댁때굴하다
대팻집고치기대패	대패찝꼬치기대패
일기죽일기죽하다	일기중닐기주카다
일기죽얄기죽하다	일기중냘기주카다
이십팔수무당벌레	이십팔쑤무당벌레
이기죽이기죽하다	이기주기기주카다
은점어리표범나비	은저머리표범나비
으지직으지직하다	으지지그지지카다
으지적으지적하다	으지저그지저카다
으드득으드득하다	으드드그드드카다
육조법보단경언해	육쪼법뽀단경언해
유리창어리박각시	유리창어리박깍씨
유각사상근족충목	유각싸상근족충목
월커덕월커덕하다	월커더궐커더카다
월커덕덜커덕하다	월커덕떨커더카다
월거덕월거덕하다	월거더궐거더카다
월거덕덜거덕하다	월거덕떨거더카다
원기시학활법전서	원기시하콸뻡쩐서
웍더글웍더글하다	웍떠그뤅떠글하다
웍더글덕더글하다	웍떠글덕떠글하다
워그적워그적하다	워그저궈그저카다
움지럭움지럭하다	움지러굼지러카다
욱시글욱시글하다	욱씨그룩씨글하다
욱시글득시글하다	욱씨글득씨글하다
우지직우지직하다	우지지구지지카다
우지끈우지끈하다	우지끄누지끈하다
우비적우비적하다	우비저구비저카다
우물쩍주물쩍하다	우물쩍쭈물쩌카다
우물쩍우물쩍하다	우물쩌구물쩌카다
우무적우무적하다	우무저구무저카다
우무럭우무럭하다	우무러구무러카다
우두둑우두둑하다	우두두구두두카다
요란뻑적지근하다	요란뻑쩍찌근하다
투드럭투드럭하다	투드럭투드러카다
투두둑투두둑하다	투두둑투두두카다
통리군국사무아문	통니군국싸무아문
톱다리허리노린재	톱따리허리노린재
톱니무늬버섯벌레	톰니무니버섣뻘레
토드락토드락하다	토드락토드라카다
토도독토도독하다	토도독토도도카다
테두리염소하늘소	테두리염소하늘쏘
털퍼덕털퍼덕하다	털퍼덕털퍼더카다
털커덕털커덕하다	털커덕털커더카다
털버덕털버덕하다	털버덕털버더카다
털거덕털거덕하다	털거덕털거더카다
터부룩터부룩하다	터부룩터부루카다
터드럭터드럭하다	터드럭터드러카다
탈파닥탈파닥하다	탈파닥탈파다카다
탈카닥탈카닥하다	탈카닥탈카다카다
탈바닥탈바닥하다	탈바닥탈바다카다
탈가닥탈가닥하다	탈가닥탈가다카다
타시락타시락하다	타시락타시라카다
타드락타드락하다	타드락타드라카다
타다닥타다닥하다	타다닥타다다카다
키드득키드득하다	키드득키드드카다
큰흰꼬리하루살이	큰힌꼬리하루사리
큰참날개하루살이	큰참날개하루사리
큰변색장님노린재	큰변색짱님노린재
큰도둑놈의갈고리	큰도둥노믜갈고리
쿵적적쿵적적하다	쿵적쩍쿵적쩌카다
쿵덕덕쿵덕덕하다	쿵덕떡쿵덕떠카다
콩작작콩작작하다	콩작짝콩작짜카다
콩닥닥콩닥닥하다	콩닥딱콩닥따카다
캐드득캐드득하다	캐드득캐드드카다
치근덕치근덕하다	치근덕치근더카다
충용장군김덕령전	충용장군김덩녕전
초목국토실개성불	초목꾹토실개성불
초록구멍장이버섯	초록꾸멍장이버섣
청천백일만지홍기	청천배길만지홍기
철퍼덕철퍼덕하다	철퍼덕철퍼더카다
철커덕철커덕하다	철커덕철커더카다
철써덕철써덕하다	철써덕철써더카다
철버덕철버덕하다	철버덕철버더카다
철꺼덕철꺼덕하다	철꺼덕철꺼더카다
철거덕철거덕하다	철거덕철거더카다
천상열차분야지도	천상녈차부냐지도
송충살이벼룩좀벌	송충사리벼룩쫌벌
소스락소스락하다	소스락쏘스라카다
소미가숙통감절요	소미가숙통감저료
소곤닥소곤닥하다	소곤닥쏘곤다카다
세줄날개가지나방	세줄랄개가지나방
세가락메추라깃과	세가랑메추라기꽈
세가락메추라기목	세가랑메추라기목
샐기죽샐기죽하다	샐기죽쌜기주카다
새새덕새새덕하다	새새덕쌔새더카다
새근발딱새근발딱	새근발딱쌔근발따
새근덕새근덕하다	새근덕쌔근더카다
산대도감놀이하다	산대도감노리하다
긴조롱박먼지벌레	긴조롱방먼지벌레
긴수염우단풍뎅이	긴수여무단풍뎅이
긴꼬리뾰족맵시벌	긴꼬리뾰종맵씨벌
긴꼬리물결자나방	긴꼬리물껼자나방
기역니은디귿차례	기영니은디귿차례
금빛어리표범나비	금삐더리표범나비
금강반야바라밀경	금강바냐바라밀경
금강경오가해설의	금강경오가해서릐
근드적근드적하다	근드적끈드저카다
그들먹그들먹하다	그들먹끄들머카다
굼지럭굼지럭하다	굼지럭꿈지러카다
굴거리가시꽃파리	굴거리가시꼳파리
구무럭구무럭하다	구무럭꾸무러카다
구기적구기적하다	구기적꾸기저카다
광릉톱니등초파리	광능톰니등초파리
관보현보살행법경	관보현보살행법꼉
곰지락곰지락하다	곰지락꼼지라카다
곤충살이긴선충목	곤충사리긴선충목
앞붉은점빛불나방	압뿔근점삗뿔라방
앙기작앙기작하다	앙기자강기자카다
알통다리꽃하늘소	알통다리꼬타늘쏘
알로록알로록하다	알로로갈로로카다
알로록달로록하다	알로록딸로로카다
앉은뱅이모말되기	안즌뱅이모말되기
아지직아지직하다	아지지가지지카다
아지작아지작하다	아지자가지자카다
아사삭아사삭하다	아사사가사사카다
아름작아름작하다	아름자가름자카다
아로록아로록하다	아로로가로로카다
아로록다로록하다	아로록따로로카다
아드득아드득하다	아드드가드드카다
아니꼽살머리스럽	아니꼽쌀머리스럽
아느작아느작하다	아느자가느자카다
아기족아기족하다	아기조가기조카다
아기작아기작하다	아기자가기자카다
씰기죽씰기죽하다	씰기죽씰기주카다
씰기죽쌜기죽하다	씰기죽쌜기주카다
씨우적씨우적하다	씨우적씨우저카다
씨르륵씨르륵하다	씨르륵씨르르카다
씨근펄떡씨근펄떡	씨근펄떡씨근펄떠
씨근벌떡씨근벌떡	씨근벌떡씨근벌떠
씨근덕씨근덕하다	씨근덕씨근더카다
쓰르륵쓰르륵하다	쓰르륵쓰르르카다
쑤군덕쑤군덕하다	쑤군덕쑤군더카다
쏠라닥쏠라닥하다	쏠라닥쏠라다카다
쏘곤닥쏘곤닥하다	쏘곤닥쏘곤다카다
쌜기죽쌜기죽하다	쌜기죽쌜기주카다
쌔근팔딱쌔근팔딱	쌔근팔딱쌔근팔따
쌔근발딱쌔근발딱	쌔근발딱쌔근발따
쌔근덕쌔근덕하다	쌔근덕쌔근더카다
쌍홍잡이거중돌기	쌍홍자비거중돌기
쌍꼬리하루살잇과	쌍꼬리하루사리꽈
싸르륵싸르륵하다	싸르륵싸르르카다
싸르락싸르락하다	싸르락싸르라카다
십칠사찬고금통요	십칠싸찬고금통요
십자물구나무서기	십짜물구나무서기
십자무늬긴노린재	십짜무니긴노린재
십이흰점무당벌레	시비힌점무당벌레
실기죽실기죽하다	실기죽씰기주카다
실기죽샐기죽하다	실기죽쌜기주카다
신편제종교장총록	신편제종교장총녹
신증동국여지승람	신증동궁녀지승남
신간증보삼략직해	신간증보삼냑찌캐
시위적시위적하다	시위적씨위저카다
시시덕시시덕하다	시시덕씨시더카다
시시닥시시닥하다	시시닥씨시다카다
시부적시부적하다	시부적씨부저카다
시드럭시드럭하다	시드럭씨드러카다
시드럭부드럭하다	시드럭뿌드러카다
시끌뻑적지근하다	시끌뻑쩍찌근하다
시근벌떡시근벌떡	시근벌떡씨근벌떠
